Nama Sekolah,Wilayah Jakarta
SMK Taman Siswa 1 Jakarta,Jakarta Pusat
SMK Taman Siswa 2 Jakarta,Jakarta Pusat
SMK Taman Siswa 3 Jakarta,Jakarta Pusat
SMK Tunas Harapan,Jakarta Pusat
SMK Yapermas Jakarta,Jakarta Pusat
SMK YP IPPI Petojo,Jakarta Pusat
SMK 11 Maret,Jakarta Utara
SMK Al Irsyad Jakarta,Jakarta Utara
SMK Al Jihad Jakarta,Jakarta Utara
SMK Al Khairiyah 1 Jakarta,Jakarta Utara
SMK Al Khairiyah 2 Jakarta,Jakarta Utara
SMK Al Khairiyah Bahari,Jakarta Utara
SMK Al Miftahiyyah,Jakarta Utara
SMK Al Muttaqin,Jakarta Utara
SMK Ar Raudhah Jakarta,Jakarta Utara
SMK Az Zahrah,Jakarta Utara
SMK Barunawati,Jakarta Utara
SMK Bintang Nusantara,Jakarta Utara
SMK Budi Agung,Jakarta Utara
SMK Cilincing 1 Jakarta,Jakarta Utara
SMK Cilincing 3 Jakarta,Jakarta Utara
SMK Citra Bangsa,Jakarta Utara
SMK Darul Maarif,Jakarta Utara
SMK Dharma Putra 1,Jakarta Utara
SMK Fajar Indah,Jakarta Utara
SMK Genesaret,Jakarta Utara
SMK Gita Kirtti 2 Jakarta,Jakarta Utara
SMK Global 21 Jakarta,Jakarta Utara
SMK Gunung Jati Jakarta,Jakarta Utara
SMK Hang Tuah 1 Jakarta,Jakarta Utara
SMK Hang Tuah 2,Jakarta Utara
SMK Jaya Jakarta,Jakarta Utara
SMK Kasih Ananda,Jakarta Utara
